,subject,relation,object,sentence,subject_type,object_type
0,The World Meteorological Organization,verified,record,"The World Meteorological Organization (WMO) on Tuesday verified the record, reported in the Siberian town of Verkhoyansk on 20 June last year.",ORG,NOUN_CHUNK
1,greenhouse gases,cause,warming,"These greenhouse gases can cause further warming, and further thawing of the permafrost, in a vicious cycle known as positive feedback.",NOUN_CHUNK,NOUN_CHUNK
2,humans,experience,catastrophic warming,"Left unchecked, humans and nature will experience catastrophic warming, with worsening droughts, greater sea level rise and mass extinction of species.",NOUN_CHUNK,NOUN_CHUNK
3,Thwaites,dumping,50 billion tonnes,Already Thwaites is dumping 50 billion tonnes of ice into the ocean each year.,ORG,QUANTITY
4,coming change,see,following ice jump,The coming change in status will probably see the following ice jump in speed to about 2km per year - the same as the current velocity recorded in the 80km-wide western sector.,NOUN_CHUNK,NOUN_CHUNK
5,year ITGC project,putting,Thwaites,"Jointly funded by the US National Science Foundation and the UK's Natural Environment Research Council, the five-year ITGC project is putting Thwaites under unprecedented scrutiny.",NOUN_CHUNK,ORG
6,teams,investigating,glacier behaviour,"Each Antarctic summer season, teams of scientists are investigating the glacier's behaviour in every way possible.",NOUN_CHUNK,NOUN_CHUNK
7,The EU,tightened,EU restrictions,The EU has similarly tightened The EU restrictions.,ORG,NOUN_CHUNK
8,plant,emit,more than seven million tonnes,"This plant alone will emit more than seven million tonnes of carbon dioxide every year!""Suzuki-San's point is a good one.",NOUN_CHUNK,QUANTITY
9,Japan gas fired power stations,doing,lot,In a lot of resistance place Japan's gas-fired power stations have been doing a lot of overtime.,NOUN_CHUNK,NOUN_CHUNK
10,Economically Japanese government,made,sense,Economically the Japanese government made sense.,NOUN_CHUNK,NOUN_CHUNK
11,Prof Tomas Kaberger,create,financial difficulties,"Prof Tomas Kaberger, an expert on energy policy at Chalmers University in Sweden would create financial difficulties for electric power companies and then for banks and pension funds.",PERSON,NOUN_CHUNK
12,Japan government,has,bigger ambitions,But Japan's government has much bigger ambitions than that.,NOUN_CHUNK,NOUN_CHUNK
13,a sleek new Toyota Mirai,have,huge battery,"Unlike other electric cars, a sleek new Toyota Mirai doesn't have a huge battery under the floor.",PRODUCT,NOUN_CHUNK
14,a sleek new Toyota Mirai,has,fuel cell,"Instead, a sleek new Toyota Mirai has a fuel cell under the bonnet, and hydrogen tanks under the back seat.",PRODUCT,NOUN_CHUNK
15,Elon Musk,called,hydrogen cars,"Elon Musk has called hydrogen cars ""stupid"".",PERSON,NOUN_CHUNK
16,First Minister Nicola Sturgeon,visited,the Highlands,First Minister Nicola Sturgeon visited the Highlands on Friday for an announcement on plans for a major offshore wind turbine tower factory.,PERSON,GPE
17,Thwaites,dumping,50 billion tonnes,Already Thwaites is dumping 50 billion tonnes of ice into the ocean each year.,ORG,QUANTITY
18,coming change,see,following ice jump,The coming change in status will probably see the following ice jump in speed to about 2km per year - the same as the current velocity recorded in the 80km-wide western sector.,NOUN_CHUNK,NOUN_CHUNK
19,year ITGC project,putting,Thwaites,"Jointly funded by the US National Science Foundation and the UK's Natural Environment Research Council, the five-year ITGC project is putting Thwaites under unprecedented scrutiny.",NOUN_CHUNK,ORG
20,teams,investigating,glacier behaviour,"Each Antarctic summer season, teams of scientists are investigating the glacier's behaviour in every way possible.",NOUN_CHUNK,NOUN_CHUNK
21,The EU,tightened,EU restrictions,The EU has similarly tightened The EU restrictions.,ORG,NOUN_CHUNK
22,plant,emit,more than seven million tonnes,"This plant alone will emit more than seven million tonnes of carbon dioxide every year!""Suzuki-San's point is a good one.",NOUN_CHUNK,QUANTITY
23,Japan gas fired power stations,doing,lot,In a lot of resistance place Japan's gas-fired power stations have been doing a lot of overtime.,NOUN_CHUNK,NOUN_CHUNK
24,Economically Japanese government,made,sense,Economically the Japanese government made sense.,NOUN_CHUNK,NOUN_CHUNK
25,Prof Tomas Kaberger,create,financial difficulties,"Prof Tomas Kaberger, an expert on energy policy at Chalmers University in Sweden would create financial difficulties for electric power companies and then for banks and pension funds.",PERSON,NOUN_CHUNK
26,Japan government,has,bigger ambitions,But Japan's government has much bigger ambitions than that.,NOUN_CHUNK,NOUN_CHUNK
27,a sleek new Toyota Mirai,have,huge battery,"Unlike other electric cars, a sleek new Toyota Mirai doesn't have a huge battery under the floor.",PRODUCT,NOUN_CHUNK
28,a sleek new Toyota Mirai,has,fuel cell,"Instead, a sleek new Toyota Mirai has a fuel cell under the bonnet, and hydrogen tanks under the back seat.",PRODUCT,NOUN_CHUNK
29,Elon Musk,called,hydrogen cars,"Elon Musk has called hydrogen cars ""stupid"".",PERSON,NOUN_CHUNK
30,First Minister Nicola Sturgeon,visited,the Highlands,First Minister Nicola Sturgeon visited the Highlands on Friday for an announcement on plans for a major offshore wind turbine tower factory.,PERSON,GPE
31,UK,has,relatively ambitious emissions reduction targets,"UK, for example, has this relatively ambitious emissions reduction targets",GPE,NOUN_CHUNK
32,countries,given,ways,The Covid-19 pandemic was given as an example for how countries can find ways to work together.,NOUN_CHUNK,NOUN_CHUNK
33,Post news website,called,2070 pledge,"The First Post news website called the 2070 pledge a ""bold decision... without capitulating to the uncalled for bullying by the West"".",NOUN_CHUNK,NOUN_CHUNK
34,political economic crisis,been,shadow,"But since the pandemic, there's been a rise in poverty and the political and economic crisis is casting a shadow over Brazil.",NOUN_CHUNK,NOUN_CHUNK
35,People,have,immediate concerns,People have more immediate concerns.,NOUN_CHUNK,NOUN_CHUNK
36,Russia,seen,Russia worst droughts,"Russia has seen one Russia worst droughts in decades this year, resulting in severe water shortages and electricity blackouts.",GPE,NOUN_CHUNK
37,sanctions,exacerbated,problems,US sanctions and unsustainable domestic policies have only exacerbated such problems.,NOUN_CHUNK,NOUN_CHUNK
38,Climate activists,sounded,alarm,"Climate activists, especially in the oil-producing Niger Delta region, have long sounded the alarm about the impact of oil drilling and gas flaring but there is little sign of any action from the government and the international oil firms.",NOUN_CHUNK,NOUN_CHUNK
39,Environmental campaign group,says,illegal logging,Environmental campaign group Greenpeace says illegal logging - by both large and small companies - is leading to deforestation.,NOUN_CHUNK,NOUN_CHUNK
40,threats,include,small scale subsistence agriculture,"Other threats include small-scale subsistence agriculture, clearing for charcoal and fuel, urban expansion and mining.",NOUN_CHUNK,NOUN_CHUNK
41,President Biden,had,one in Rome on Sunday,President Biden also had one in Rome on Sunday.,PERSON,CARDINAL
42,Private jets,produce,significantly emissions,Private jets generally produce significantly more emissions per passenger than commercial flights.,NOUN_CHUNK,NOUN_CHUNK
43,US President Joe Biden,hosted,virtual climate summit,"In April, US President Joe Biden hosted a virtual climate summit for world leaders, at which some commitments were made.",PERSON,NOUN_CHUNK
