,source,target,edge,sentence
0,highest  temperature,changing alarm climate,confirmed,"The highest temperature ever recorded in the Arctic, 38C (100F), has been officially confirmed, sounding ""alarm bells"" over Earth's changing climate."
1,World Meteorological Organization,20  June,verified,"The World Meteorological Organization (WMO) on Tuesday verified the record, reported in the Siberian town of Verkhoyansk on 20 June last year."
2,temperature,daily  June,was,The temperature was 18C higher than the area's average daily maximum for June.
3,extreme UN heat,more  Arctic,said,"The WMO, a UN agency, said the extreme heat was ""more befitting the Mediterranean than the Arctic""."
4,first  agency,extreme weather reports,is,It is the first time the agency has included the Arctic Circle in its archive of extreme weather reports.
5,38C temperature,Siberian  heatwave,said,"The WMO said the 38C temperature was measured at a meteorological station during ""an exceptional and prolonged Siberian heatwave""."
6,which,northern record carbon,contributed to,"Last year's extreme heat in the region contributed to the spread of wildfires, which swept across the forests and peatlands of northern Russia releasing record amounts of carbon."
7,strong  fires,relatively summer months,made,"While relatively common in summer months, high temperatures and strong winds made the fires unusually severe."
8,warmest sea ice WMO,warmest sea ice record,said,"The high temperatures across Siberia led to ""massive sea ice loss"" and played a major role in 2020 being one of the three warmest years on record, the WMO said."
9,how Verkhoyansk temperatures,important  world,said,The agency said its verification of the Verkhoyansk record highlighted how temperatures were increasing in a climatically important region of the world.
10,changing General Petteri Taalas,changing alarm climate,said,"""This new Arctic record is one of a series of observations reported to the WMO archive of Weather and Climate Extremes that sound the alarm bells about our changing climate,"" said WMO Secretary-General Petteri Taalas."
11,melting,Russian  warming,told,Mr Taalas told the BBC that melting snow and ice in the Russian Arctic were boosting warming.
12,open  he,dark  soil,said,"""This is very much caused by changes in the radiation properties of the soil and the ocean... once we had snow cover, the radiation properties of the surface is very different from the dark soil or open sea,"" he said."
13,it,high World region,said,The WMO said it had added the Arctic Circle to its World Weather and Climate Extremes archive under a new category for high temperatures in the region.
14,global warming WMO,global warming average,said,"The Arctic is one of the fastest warming regions in the world, heating at more than twice the global average, the WMO said."
15,Warming,frozen  ground,leading to,Warming in the Arctic is leading to the thawing of once permanently frozen permafrost below ground.
16,previously  locked,ground,is alarming,"This is alarming scientists because as permafrost thaws, carbon dioxide and methane previously locked up below ground is released."
17,greenhouse gases,positive  feedback,cause further,"These greenhouse gases can cause further warming, and further thawing of the permafrost, in a vicious cycle known as positive feedback."
18,where run it,level rise,cause,"The higher temperatures also cause land ice in the Arctic to melt at a faster rate, leading to greater run-off into the ocean where it contributes to sea-level rise."
19,climate change,human  life,contributing to,"Human activity is contributing to a rise in world temperatures, and climate change now threatens every aspect of human life."
20,humans,mass sea level species,experience catastrophic,"Left unchecked, humans and nature will experience catastrophic warming, with worsening droughts, greater sea level rise and mass extinction of species."
21,Scientists,10  years,warning of dramatic,"Scientists are warning of dramatic changes at one of the biggest glaciers in Antarctica, potentially within the next five to 10 years."
22,floating  section,relatively Thwaites car,say,"They say a floating section at the front of Thwaites Glacier that until now has been relatively stable could ""shatter like a car windscreen""."
23,US  researchers,intense melt rate,engaged in,US and UK researchers are currently engaged in an intense study programme at Thwaites because of its melt rate.
24,Already  it,50 billion 50 ocean,dumping,Already it is dumping 50 billion tonnes of ice into the ocean each year.
25,65 drainage it,65 drainage cm,were,"This is having limited impact on global sea-levels today, but there is sufficient ice held upstream in the glacier's drainage basin to raise the height of the oceans by 65cm - were it all to melt."
